Occupational_Group,Job_Family,Class_Code,Category,Range,Class_Title,SOC,EEO,State_and_Local_Job_Code,Census_EEO,AKPAY_Code
PA,PA01,PA0101,B,28,Deputy Commissioner,11-1021,EEO4-Officials & Administrators,1,20,P1951
PA,PA01,PA0102,B,27,Assistant Commissioner,11-1021,EEO4-Officials & Administrators,1,20,P1980
PA,PA01,PA0103,B,28,Chief of Operations,11-1021,EEO4-Officials & Administrators,1,20,
PA,PA01,PA0112,B,27,Division Director - PX,11-1021,EEO4-Officials & Administrators,1,20,P1901
PA,PA01,PA0113,B,24,Division Operations Manager,11-1021,EEO4-Officials & Administrators,1,20,K0051
PA,PA01,PA0114,B,25,Deputy Director,11-1021,EEO4-Officials & Administrators,1,20,K0054
PA,PA01,PA0121,B,28,Deputy Attorney General,23-1011,EEO4-Officials & Administrators,1,2100,P7148
PA,PA01,PA0122,B,27,Public Defender,23-1011,EEO4-Officials & Administrators,2,2100,P7160
PA,PA01,PA0143,B,27,"Director, Tax Division",11-1021,EEO4-Officials & Administrators,1,20,K0005
PA,PA01,PA0161,B,27,State Comptroller,13-2011,EEO4-Professionals,2,800,P1230
PA,PA01,PA0191,B,21,Special Assistant to the Commissioner 1,11-9199,EEO4-Officials & Administrators,1,430,P1917
PA,PA01,PA0192,B,23,Special Assistant to the Commissioner 2,11-9199,EEO4-Officials & Administrators,1,430,P1918
PB,PB01,PB0102,A,08,Office Assistant 1,43-9061,EEO4-Administrative Support,6,5860,P1134
PB,PB01,PB0103,A,10,Office Assistant 2,43-9061,EEO4-Administrative Support,6,5860,P1135
PB,PB01,PB0104,A,11,Office Assistant 3,43-9061,EEO4-Administrative Support,6,5860,K0077
PB,PB01,PB0105,A,12,Office Assistant 4,43-1011,EEO4-Administrative Support,6,5000,P1136
PB,PB01,PB0130,A,11,Secretary,43-6011,EEO4-Administrative Support,6,5700,P1151
PB,PB01,PB0135,A,12,Executive Secretary 1,43-6011,EEO4-Administrative Support,6,5700,P1155
PB,PB01,PB0136,A,14,Executive Secretary 2,43-6011,EEO4-Administrative Support,6,5700,P1154
PB,PB01,PB0137,A,16,Executive Secretary 3,43-6011,EEO4-Administrative Support,6,5700,P1156
PB,PB01,PB0151,A,12,Administrative Assistant 1,43-6011,EEO4-Administrative Support,6,5700,K0017
PB,PB01,PB0152,A,14,Administrative Assistant 2,43-6011,EEO4-Administrative Support,6,5700,K0018
PB,PB01,PB0153,A,15,Administrative Assistant 3,43-6011,EEO4-Administrative Support,6,5700,K0053
PB,PB01,PB0154,B,17,Administrative Officer 1,11-3012,EEO4-Professionals,1,100,K0019
PB,PB01,PB0155,B,19,Administrative Officer 2,11-3012,EEO4-Professionals,1,100,K0020
PB,PB01,PB0157,B,22,Administrative Operations Manager 1,11-3012,EEO4-Professionals,1,100,K0021
PB,PB01,PB0158,B,23,Administrative Operations Manager 2,11-3012,EEO4-Professionals,1,100,K0022
PB,PB02,PB0202,A,10,Accounting Clerk,43-3031,EEO4-Administrative Support,6,5120,P1203
PB,PB02,PB0205,A,12,Accounting Technician 1,43-3031,EEO4-Administrative Support,6,5120,P1210
PB,PB02,PB0206,A,14,Accounting Technician 2,43-3031,EEO4-Administrative Support,6,5120,P1211
PB,PB02,PB0207,A,16,Accounting Technician 3,13-2011,EEO4-Paraprofessionals,2,800,P1212
