code,title,headcount,range_change
PC0504,Tax Technician 4,3,9
PD0202,Economist 2,3,9
PF0324,Human Rights Field Representative 4,1,9
PD0473,State Logistics Center Coordinator,0,7
PH0142,Biometrician 2,9,7
PB0514,Research Analyst 4,12,6
PD0412,Emergency Management Specialist 2,28,6
PF0460,Vocational Rehabilitation Manager,4,6
PF0531,Employment Services Manager 1,7,6
PC0310,Radiological Health Physicist 1,0,5
PD0222,Petroleum Economist 2,2,5
PD0505,International Airports Controller,1,5
PE0140,Education Coordinator (Corrections),15,5
PE0622,Publications Technician 2,3,5
PF0160,Workers' Compensation Technician,9,5
PF0193,"Chief, Public Assistance Field Operations",1,5
PF0302,Civil Rights Programs and Compliance Specialist 2,2,5
PH0353,Wildland Fire and Resource Technician 3,43,5
PK0123,Chemist 3,4,5
PK0137,Geological Scientist 1,3,5
PB0102,Office Assistant 1,68,4
PB0130,Secretary,0,4
PB0325,Labor Relations Manager,0,4
PB0503,Statistical Technician 2,3,4
PB0511,Research Analyst 1,8,4
