code,title,headcount,range_change
PB0130,Secretary,0,4
PB0325,Labor Relations Manager,0,4
PB07A3,Application Developer 3,0,3
PB07B2,IT Business Analyst 2,0,2
PB07C2,IT Client Support Specialist 2,0,2
PB07D2,Database Administrator 2,0,1
PB07E1,IT Support Technician 1,0,3
PB07J2,IT Project Manager 2,0,0
PB07M1,IT Manager 1,0,3
PB07N2,Network and Telecommunications Specialist 2,0,2
PB07P1,IT Policy and Planning Analyst 1,0,-1
PB07R1,IT Architecture Specialist 1,0,3
PB07S1,IT Security Specialist 1,0,1
PB07U2,IT Quality Assurance Analyst 2,0,2
PB07V2,IT Vendor Manager 2,0,2
PB07Y2,IT Systems Administrator 2,0,1
PC0252,Utility Financial Analyst 2,0,4
PC0254,Utility Financial Analyst 4,0,2
PC0310,Radiological Health Physicist 1,0,5
PD0473,State Logistics Center Coordinator,0,7
PD0502,Airport Manager ‐ Fairbanks International Airport,0,0
PD0632,Reservation Call Center Supervisor,0,3
PD0656,AMHS Safety Management Coordinator,0,-1
PD0669,Marine Engineering Assistant Manager,0,1
PD0810,Right‐of‐Way Assistant,0,1
