benchmark,title,group,code,family,BU,schedule,original_range,step,ak_annual_salary,market_target_annual_salary,percentile,nearest_range,range_change
1,Division Director ‐ PX,Executives and Senior Administrators,PA0112,PA01 ‐ Executives and Senior Administrators,XE,N00,27,A,117371,146594.0,65,30,3
1,Division Director ‐ PX,Executives and Senior Administrators,PA0112,PA01 ‐ Executives and Senior Administrators,XE,N00,27,F,140166,168178.0,65,30,3
1,Division Director ‐ PX,Executives and Senior Administrators,PA0112,PA01 ‐ Executives and Senior Administrators,XE,N00,27,O,169806,201433.0,65,30,3
2,Division Operations Manager,Executives and Senior Administrators,PA0113,PA01 ‐ Executives and Senior Administrators,SS,200,24,A,108867,110261.0,65,24,0
2,Division Operations Manager,Executives and Senior Administrators,PA0113,PA01 ‐ Executives and Senior Administrators,SS,200,24,E,124654,129996.0,65,25,1
2,Division Operations Manager,Executives and Senior Administrators,PA0113,PA01 ‐ Executives and Senior Administrators,SS,200,24,O,151029,154509.0,65,24,0
3,Office Assistant 1,Administrative and Office Support,PB0102,PB01 ‐ General Administration,GP,200,8,A,34983,43186.0,65,12,4
3,Office Assistant 1,Administrative and Office Support,PB0102,PB01 ‐ General Administration,GP,200,8,F,40560,49402.0,65,11,3
3,Office Assistant 1,Administrative and Office Support,PB0102,PB01 ‐ General Administration,GP,200,8,O,51285,55974.0,65,9,1
4,Secretary,Administrative and Office Support,PB0130,PB01 ‐ General Administration,XE,N00,11,A,43115,56890.0,65,15,4
4,Secretary,Administrative and Office Support,PB0130,PB01 ‐ General Administration,XE,N00,11,F,50193,62055.0,65,14,3
4,Secretary,Administrative and Office Support,PB0130,PB01 ‐ General Administration,XE,N00,11,O,60801,69484.0,65,13,2
5,Executive Secretary 3,Administrative and Office Support,PB0137,PB01 ‐ General Administration,XE,N00,16,A,59534,73930.0,65,19,3
5,Executive Secretary 3,Administrative and Office Support,PB0137,PB01 ‐ General Administration,XE,N00,16,F,70980,84101.0,65,19,3
5,Executive Secretary 3,Administrative and Office Support,PB0137,PB01 ‐ General Administration,XE,N00,16,O,85976,95608.0,65,18,2
6,Administrative Assistant 2,Administrative and Office Support,PB0152,PB01 ‐ General Administration,GP,200,14,A,50466,48093.0,65,13,-1
6,Administrative Assistant 2,Administrative and Office Support,PB0152,PB01 ‐ General Administration,GP,200,14,F,60138,57560.0,65,13,-1
6,Administrative Assistant 2,Administrative and Office Support,PB0152,PB01 ‐ General Administration,GP,200,14,O,75914,69339.0,65,13,-1
7,Administrative Officer 1,Administrative and Office Support,PB0154,PB01 ‐ General Administration,SS,200,17,A,67995,66080.0,65,17,0
7,Administrative Officer 1,Administrative and Office Support,PB0154,PB01 ‐ General Administration,SS,200,17,E,78000,80576.0,65,17,0
7,Administrative Officer 1,Administrative and Office Support,PB0154,PB01 ‐ General Administration,SS,200,17,O,94515,91306.0,65,16,-1
8,Administrative Operations Manager 1,Administrative and Office Support,PB0157,PB01 ‐ General Administration,SS,200,22,A,95326,81088.0,65,20,-2
8,Administrative Operations Manager 1,Administrative and Office Support,PB0157,PB01 ‐ General Administration,SS,200,22,E,108867,102386.0,65,21,-1
8,Administrative Operations Manager 1,Administrative and Office Support,PB0157,PB01 ‐ General Administration,SS,200,22,O,131893,120158.0,65,21,-1
9,Accounting Clerk,Administrative and Office Support,PB0202,PB02 ‐ Accounting and Fiscal,GP,200,10,A,39410,43463.0,65,12,2
9,Accounting Clerk,Administrative and Office Support,PB0202,PB02 ‐ Accounting and Fiscal,GP,200,10,F,45786,49846.0,65,11,1
9,Accounting Clerk,Administrative and Office Support,PB0202,PB02 ‐ Accounting and Fiscal,GP,200,10,O,57798,62368.0,65,11,1
10,Accounting Technician 2,Administrative and Office Support,PB0206,PB02 ‐ Accounting and Fiscal,GP,200,14,A,50466,54912.0,65,15,1
10,Accounting Technician 2,Administrative and Office Support,PB0206,PB02 ‐ Accounting and Fiscal,GP,200,14,F,60138,64388.0,65,15,1
10,Accounting Technician 2,Administrative and Office Support,PB0206,PB02 ‐ Accounting and Fiscal,GP,200,14,O,75914,74548.0,65,14,0
