JCC,Count
PJ0312,645
PL0304,259
PJ0103,251
PB0152,204
M0044,199
PG0211,179
PB0103,174
PI0214,159
PB0151,154
PJ0316,151
PJ03A2,147
PF0112,144
PK0303,141
PI0215,140
PK0213,136
PH0102,131
PB0207,127
PI0102,126
PB0205,120
PG0327,120
PJ0311,118
PB9910,117
PL0403,115
PK0302,114
PB0206,110
PL0305,110
PH0103,106
PB0153,105
PB0154,100
PG0210,99
PF0202,98
PF0203,92
PB9909,90
PI01A2,89
PH0113,88
C0113,88
PL0213,88
PI01B2,87
PH0112,85
PG0233,84
PF0222,81
X2323,79
PB0213,79
PA0112,78
PB0155,77
PB0404,76
PH0313,76
C0128,75
PI0213,75
PL0122,74
PI0433,72
PG0122,69
PB0102,68
PJ0105,67
PB0214,67
PG0312,65
T0002,64
PF01A1,64
PI0101,64
PI0531,63
PD0611,63
PJ0315,61
PA0113,61
PJ04A3,58
PH0111,57
PJ0121,56
PB9908,55
PH0133,55
PB0405,54
PL0411,53
PB0432,52
C0121,52
PJ04A2,51
PJ0222,51
PJ0452,51
PB0452,50
PK0413,50
PF0204,50
C0112,50
PK0214,49
PH0312,49
PB0513,48
PB0303,47
PB0403,47
PG0322,47
PL0412,46
PI01A1,45
PF0201,45
PL0303,44
C0688,44
PH0353,43
C0683,43
X0009,43
PF0521,42
PC0261,42
PF0111,41
M0011,41
PJ04A4,41
L0024,41
PI0212,40
PH0108,39
PC0102,39
PJ04B2,39
PJ03A3,39
PK0221,39
PH0104,38
CE112,37
PB0104,37
PB0157,36
PI01B1,36
M0040,35
PB0433,35
PJ0101,35
PJ03A1,35
PL0614,35
PL0113,35
PI0216,34
PL0612,34
PB0416,34
PF0522,34
PL0306,33
PB0453,33
PG0513,33
PB0434,33
PK0414,33
PK0305,32
PH0190,32
PE0232,31
PL0432,31
L1099,31
PF0123,31
PG03A3,31
PB0202,30
T0001,30
PG0301,30
PE0352,29
PG0326,29
PB0215,29
PE0341,29
PF0526,29
PK0212,29
PI01C1,28
PD0442,28
PI01B3,28
PD0412,28
PG0132,28
PB0312,28
PG0512,28
PF01A2,27
