"","family","step","nMatches","wgt_ak_annual_salary","wgt_mkt_target_annual_salary"
"1","PA01 ‐ Executives and Senior Administrators","A",141,113691.964539007,130875.468085106
"2","PA01 ‐ Executives and Senior Administrators","F",141,133455.134751773,151659.546099291
"3","PA01 ‐ Executives and Senior Administrators","O",141,161682.617021277,181132.546099291
"4","PB01 ‐ General Administration","A",418,56051.6913875598,55105.8181818182
"5","PB01 ‐ General Administration","F",418,65480.8708133971,66211.514354067
"6","PB01 ‐ General Administration","O",418,81150.7727272727,77352.4066985646
"7","PB02 ‐ Accounting and Fiscal","A",226,60261.3230088496,63289.4203539823
"8","PB02 ‐ Accounting and Fiscal","F",226,70361.2300884956,75104.5707964602
"9","PB02 ‐ Accounting and Fiscal","O",226,87287.7699115044,87344.3495575221
"10","PB03 ‐ Personnel and Employee Relations","A",153,64931.1176470588,71899.7973856209
"11","PB03 ‐ Personnel and Employee Relations","F",153,77238.5294117647,87750.0130718954
"12","PB03 ‐ Personnel and Employee Relations","O",153,94337.045751634,102013.594771242
"13","PB04 ‐ Information Technology","A",12,62069,69497
"14","PB04 ‐ Information Technology","F",12,74003,80102
"15","PB04 ‐ Information Technology","O",12,93386,94497
"16","PB05 ‐ Statistics and Research Analysis","A",91,65970.2637362637,82221.2747252747
"17","PB05 ‐ Statistics and Research Analysis","F",91,77773.1648351648,96419.8351648352
"18","PB05 ‐ Statistics and Research Analysis","O",91,97387.3406593407,109419.285714286
"19","PB06 ‐ Supply","A",49,67740.693877551,70263.1632653061
"20","PB06 ‐ Supply","F",49,78854.5918367347,86905.2653061225
"21","PB06 ‐ Supply","O",49,97341.2040816326,98902.8571428571
"22","PB07 ‐ Office of Information Technology","A",149,96150.8255033557,102365.140939597
"23","PB07 ‐ Office of Information Technology","F",149,111690.033557047,123541.234899329
"24","PB07 ‐ Office of Information Technology","O",149,137379.993288591,144591.040268456
"25","PB99 ‐ Administrative classes not otherwise described","A",147,65308.8299319728,65487.0476190476
"26","PB99 ‐ Administrative classes not otherwise described","F",147,77377.9115646258,79750.8299319728
"27","PB99 ‐ Administrative classes not otherwise described","O",147,97290.3741496599,93698.9795918367
"28","PC01 ‐ Business Finance","A",57,64797.3333333333,72244.5789473684
"29","PC01 ‐ Business Finance","F",57,76708.1228070175,89045.4912280702
"30","PC01 ‐ Business Finance","O",57,96240.9649122807,103496.403508772
"31","PC02 ‐ Business Regulation and Compliance","A",108,62814.9444444444,64602.7037037037
"32","PC02 ‐ Business Regulation and Compliance","F",108,74265.4537037037,77947.3703703704
"33","PC02 ‐ Business Regulation and Compliance","O",108,93112.6944444444,89651.6944444444
"34","PC03 ‐ Safety Inspection","A",57,73251.6315789474,78821.298245614
"35","PC03 ‐ Safety Inspection","F",57,84284.5263157895,93504.9122807018
"36","PC03 ‐ Safety Inspection","O",57,103662.859649123,106485.280701754
"37","PC04 ‐ Environmental Health","A",12,63805.9166666667,68508.0833333333
"38","PC04 ‐ Environmental Health","F",12,74582.8333333333,83169.5833333333
"39","PC04 ‐ Environmental Health","O",12,92627.9166666667,99191.3333333333
"40","PC05 ‐ Revenue Audit","A",49,86840.8571428571,88745.3265306122
"41","PC05 ‐ Revenue Audit","F",49,102062.632653061,103530.87755102
"42","PC05 ‐ Revenue Audit","O",49,127402.204081633,120574.612244898
"43","PD01 ‐ Government Management and Operations","A",12,60704,63329
"44","PD01 ‐ Government Management and Operations","F",12,72384.3333333333,79646.6666666667
"45","PD01 ‐ Government Management and Operations","O",12,91390.3333333333,97781.3333333333
"46","PD02 ‐ Economic Research","A",5,75009.2,121396
"47","PD02 ‐ Economic Research","F",5,89056.8,141774.4
"48","PD02 ‐ Economic Research","O",5,112316.6,156138.6
"49","PD03 ‐ Development and Infrastructure Planning","A",37,80769.4594594595,80864.2972972973
"50","PD03 ‐ Development and Infrastructure Planning","F",37,95032.2972972973,98848.2432432432
"51","PD03 ‐ Development and Infrastructure Planning","O",37,119116.864864865,112196.162162162
"52","PD04 ‐ Emergency Planning and Response","A",69,59140.0579710145,74625.0724637681
"53","PD04 ‐ Emergency Planning and Response","F",69,69966,87715.3623188406
"54","PD04 ‐ Emergency Planning and Response","O",69,87704.2463768116,101588.855072464
"55","PD05 ‐ Airport Administration","A",38,74793.0263157895,81658.3421052632
"56","PD05 ‐ Airport Administration","F",38,88411.7368421053,95957.1052631579
"57","PD05 ‐ Airport Administration","O",38,110224.710526316,111309.552631579
"58","PD06 ‐ Ferry System Administration","A",29,75934.3793103448,81346.9655172414
"59","PD06 ‐ Ferry System Administration","F",29,88020.724137931,93055.9655172414
"60","PD06 ‐ Ferry System Administration","O",29,107032.137931034,106215.172413793
"61","PD07‐ Maintenance Administration","A",28,89354.3571428571,96177.8214285714
"62","PD07‐ Maintenance Administration","F",28,102531.571428571,116761.75
"63","PD07‐ Maintenance Administration","O",28,124942.607142857,137565.25
"64","PD08 ‐ Real Estate Appraisal","A",18,67657.0555555556,77156.5
"65","PD08 ‐ Real Estate Appraisal","F",18,79920,94069.4444444444
"66","PD08 ‐ Real Estate Appraisal","O",18,100333.444444444,112207.722222222
"67","PD09 ‐ Property Management","A",30,72650.6333333333,83355
"68","PD09 ‐ Property Management","F",30,85925.7,95944.1
"69","PD09 ‐ Property Management","O",30,107758.866666667,110958.8
"70","PE01 ‐ Education Programs","A",50,61447.64,69247.86
"71","PE01 ‐ Education Programs","F",50,72286.4,83021.22
"72","PE01 ‐ Education Programs","O",50,90381.14,98370.44
"73","PE02 ‐ Teaching and Instruction","A",71,63471.2535211268,67909.8028169014
"74","PE02 ‐ Teaching and Instruction","F",71,74090.7887323944,79077.2816901409
"75","PE02 ‐ Teaching and Instruction","O",71,87555.4084507042,88910.7746478873
"76","PE03 ‐ Student Services","A",55,46142.5636363636,51976.0909090909
"77","PE03 ‐ Student Services","F",55,54110.0909090909,61497.7454545455
"78","PE03 ‐ Student Services","O",55,68193.8727272727,72513.4909090909
"79","PE04 ‐ Library and Archives","A",28,66805.3571428571,65035.75
"80","PE04 ‐ Library and Archives","F",28,78996.2142857143,79255.6785714286
"81","PE04 ‐ Library and Archives","O",28,99216.0714285714,91902
"82","PE05 ‐ Anthropological Research and Education","A",22,76929.5454545455,86903.3181818182
"83","PE05 ‐ Anthropological Research and Education","F",22,89307,106433.909090909
"84","PE05 ‐ Anthropological Research and Education","O",22,110078.772727273,118070.772727273
"85","PE06 ‐ Arts, Photography, and Information","A",43,61073.7674418605,70184.0697674419
"86","PE06 ‐ Arts, Photography, and Information","F",43,72467.976744186,81045.4186046512
"87","PE06 ‐ Arts, Photography, and Information","O",43,91158.2558139535,94855.1627906977
"88","PF01 ‐ Public Programs","A",391,61404.3631713555,62718.2890025575
"89","PF01 ‐ Public Programs","F",391,72204.8542199488,74236.979539642
"90","PF01 ‐ Public Programs","O",391,90124.462915601,85039.547314578
"91","PF02 ‐ Social Work","A",242,61723.6074380165,63527.326446281
"92","PF02 ‐ Social Work","F",242,72280.0165289256,75999.652892562
"93","PF02 ‐ Social Work","O",242,90062.0495867769,86908.5495867769
