benchmark,title,group,code,family,BU,schedule,original_range,step,ak_annual_salary,p50,p65,mu,sigma,ak_percentile,ak_as_percent_of_p50,ak_as_percent_of_p65,ak_diff_from_p50,ak_diff_from_p65,p50_90pct_percentile,p50_95pct_percentile,p65_90pct_percentile,p65_95pct_percentile
1,Division Director ‐ PX,Executives and Senior Administrators,PA0112,PA01 ‐ Executives and Senior Administrators,XE,N00,27.0,A,117371,128861.0,146594.0,128861.0,46021.43292654263,0.4014227182374511,0.910834154631735,0.8006535056005021,-11490.0,-29223.0,0.3897379290705342,0.4443295712238914,0.5266240743605177,0.5894200443565227
1,Division Director ‐ PX,Executives and Senior Administrators,PA0112,PA01 ‐ Executives and Senior Administrators,XE,N00,27.0,F,140166,163830.0,168178.0,163830.0,11284.113819692513,0.017992029020620977,0.8555575901849478,0.833438380763239,-23664.0,-28012.0,0.07326969517172667,0.23394021040944307,0.13456339408035167,0.35946932780618823
1,Division Director ‐ PX,Executives and Senior Administrators,PA0112,PA01 ‐ Executives and Senior Administrators,XE,N00,27.0,O,169806,189520.0,201433.0,189520.0,30917.122339925692,0.261853961214636,0.8959793161671591,0.8429899768161125,-19714.0,-31627.0,0.26994026570140345,0.37961319641132696,0.39504057348563215,0.5237460107385713
2,Division Operations Manager,Executives and Senior Administrators,PA0113,PA01 ‐ Executives and Senior Administrators,SS,200,24.0,A,108867,102420.0,110261.0,102420.0,20349.29541403151,0.6243087171542684,1.0629466900995899,0.9873572704764151,6447.0,-1394.0,0.3073732353313808,0.4006539080429232,0.43781103019580636,0.5455394600096795
2,Division Operations Manager,Executives and Senior Administrators,PA0113,PA01 ‐ Executives and Senior Administrators,SS,200,24.0,E,124654,121928.0,129996.0,121928.0,20938.415431756945,0.5517924701779768,1.0223574568597862,0.958906427890089,2726.0,-5342.0,0.2801765121305969,0.3854650069108008,0.406899161571333,0.5298512027406082
2,Division Operations Manager,Executives and Senior Administrators,PA0113,PA01 ‐ Executives and Senior Administrators,SS,200,24.0,O,151029,149901.0,154509.0,149901.0,11958.87683558949,0.5375738049901813,1.0075249664778754,0.9774770401724171,1128.0,-3480.0,0.1050172539903717,0.2654163874603773,0.18228745627566317,0.3971693232946902
3,Office Assistant 1,Administrative and Office Support,PB0102,PB01 ‐ General Administration,GP,200,8.0,A,34983,39103.0,43186.0,39103.0,10596.374591951364,0.34870752776411534,0.8946372401094546,0.8100541842263697,-4120.0,-8203.0,0.35605549959625193,0.42680621312128536,0.4911306403018316,0.5720293953119621
3,Office Assistant 1,Administrative and Office Support,PB0102,PB01 ‐ General Administration,GP,200,8.0,F,40560,45935.0,49402.0,45935.0,8997.705292749297,0.27512867628798043,0.8829868292151953,0.8210193919274523,-5375.0,-8842.0,0.30484393434357177,0.3992613286057529,0.43497159991968365,0.5441105114196172
3,Office Assistant 1,Administrative and Office Support,PB0102,PB01 ‐ General Administration,GP,200,8.0,O,51285,53591.0,55974.0,53591.0,6184.462564932673,0.3546226339804087,0.9569703868186823,0.9162289634473149,-2306.0,-4689.0,0.19309634975335555,0.332408850801547,0.30161747462103194,0.4732045415076735
4,Secretary,Administrative and Office Support,PB0130,PB01 ‐ General Administration,XE,N00,11.0,A,43115,52935.0,56890.0,52935.0,10264.183568740546,0.1693530633104074,0.8144894682157363,0.7578660573035683,-9820.0,-13775.0,0.30302311194555687,0.3982564396355112,0.4329231123719093,0.543078206127313
4,Secretary,Administrative and Office Support,PB0130,PB01 ‐ General Administration,XE,N00,11.0,F,50193,60583.0,62055.0,60583.0,3820.1967669244204,0.0032665131355391133,0.82849974415265,0.8088469905728789,-10390.0,-11862.0,0.05638545385521495,0.21390919868760633,0.10765936181464025,0.3347348535807754
4,Secretary,Administrative and Office Support,PB0130,PB01 ‐ General Administration,XE,N00,11.0,O,60801,69033.0,69484.0,69033.0,1170.4543083443707,1.009491167407563e-12,0.880752683499196,0.8750359795060734,-8232.0,-8683.0,1.8400461801857153e-09,0.0015941069380092981,1.4187563328028255e-08,0.004898278632373501
