code,nMatchesSalStudy,note
PB0130,4,No Positions listed on SoA directory
PB0325,22,No Positions listed on SoA directory
PB07A3,6,Unverified (Proposed classification?)
PB07B2,5,Unverified (Proposed classification?)
PB07C2,6,Unverified (Proposed classification?)
PB07D2,5,Unverified (Proposed classification?)
PB07E1,6,Unverified (Proposed classification?)
PB07J2,27,Unverified (Proposed classification?)
PB07M1,27,Unverified (Proposed classification?)
PB07N2,6,Unverified (Proposed classification?)
PB07P1,15,Unverified (Proposed classification?)
PB07R1,6,Unverified (Proposed classification?)
PB07S1,6,Unverified (Proposed classification?)
PB07U2,5,Unverified (Proposed classification?)
PB07V2,4,Unverified (Proposed classification?)
PB07Y2,5,Unverified (Proposed classification?)
PC0252,5,No Positions listed on SoA directory
PC0254,5,No Positions listed on SoA directory
PC0565,5,No Positions listed on SoA directory
PL0222,5,No Positions listed on SoA directory
PL0512,4,No Positions listed on SoA directory
PE0353,4,No Positions listed on SoA directory
PE0431,21,No Positions listed on SoA directory
PE0550,7,No Positions listed on SoA directory
PD0473,5,No Positions listed on SoA directory
PD0502,3,No Positions listed on SoA directory
PD0632,6,No Positions listed on SoA directory
PD0656,1,No Positions listed on SoA directory
PD0669,3,No Positions listed on SoA directory
PD0810,1,No Positions listed on SoA directory
PD0821,4,No Positions listed on SoA directory
PI0321,2,No Positions listed on SoA directory
PG06A1,22,No Positions listed on SoA directory
PK0453,5,No Positions listed on SoA directory
PK0611,0,No Positions listed on SoA directory
PJ02A2,2,No Positions listed on SoA directory
