BU,schedule,range,step,biweekly,ak_annual_salary
XE,A00,5,A,1347.75,35041.5
XE,A00,6,A,1422.75,36991.5
XE,A00,7,A,1509.0,39234.0
XE,A00,8,A,1592.25,41398.5
XE,A00,9,A,1690.5,43953.0
XE,A00,10,A,1793.25,46624.5
XE,A00,11,A,1907.25,49588.5
XE,A00,12,A,2022.0,52572.0
XE,A00,13,A,2151.75,55945.5
XE,A00,14,A,2295.75,59689.5
XE,A00,15,A,2455.5,63843.0
XE,A00,16,A,2633.25,68464.5
XE,A00,17,A,2820.0,73320.0
XE,A00,18,A,3031.5,78819.0
XE,A00,19,A,3246.75,84415.5
XE,A00,20,A,3462.0,90012.0
XE,A00,21,A,3705.75,96349.5
XE,A00,22,A,3956.25,102862.5
XE,A00,23,A,4229.25,109960.5
XE,A00,24,A,4524.0,117624.0
XE,A00,25,A,4842.0,125892.0
XE,A00,26,A,5025.0,130650.0
XE,A00,27,A,5191.5,134979.0
XE,A00,28,A,5367.0,139542.0
XE,A00,29,A,5561.25,144592.5
XE,A00,30,A,5767.5,149955.0
XE,A00,5,B,1384.5,35997.0
XE,A00,6,B,1465.5,38103.0
XE,A00,7,B,1547.25,40228.5
XE,A00,8,B,1639.5,42627.0
XE,A00,9,B,1743.75,45337.5
XE,A00,10,B,1849.5,48087.0
XE,A00,11,B,1962.75,51031.5
XE,A00,12,B,2081.25,54112.5
XE,A00,13,B,2220.0,57720.0
XE,A00,14,B,2373.75,61717.5
XE,A00,15,B,2544.0,66144.0
XE,A00,16,B,2733.0,71058.0
XE,A00,17,B,2927.25,76108.5
XE,A00,18,B,3139.5,81627.0
XE,A00,19,B,3357.0,87282.0
XE,A00,20,B,3594.0,93444.0
XE,A00,21,B,3840.0,99840.0
XE,A00,22,B,4103.25,106684.5
XE,A00,23,B,4382.25,113938.5
XE,A00,24,B,4686.0,121836.0
XE,A00,25,B,5025.0,130650.0
XE,A00,26,B,5191.5,134979.0
XE,A00,27,B,5367.0,139542.0
XE,A00,28,B,5561.25,144592.5
XE,A00,29,B,5767.5,149955.0
XE,A00,30,B,5974.5,155337.0
XE,A00,5,C,1422.75,36991.5
XE,A00,6,C,1509.0,39234.0
XE,A00,7,C,1592.25,41398.5
XE,A00,8,C,1690.5,43953.0
XE,A00,9,C,1793.25,46624.5
XE,A00,10,C,1907.25,49588.5
XE,A00,11,C,2022.0,52572.0
XE,A00,12,C,2151.75,55945.5
XE,A00,13,C,2295.75,59689.5
XE,A00,14,C,2455.5,63843.0
XE,A00,15,C,2633.25,68464.5
XE,A00,16,C,2820.0,73320.0
XE,A00,17,C,3031.5,78819.0
XE,A00,18,C,3246.75,84415.5
XE,A00,19,C,3462.0,90012.0
XE,A00,20,C,3705.75,96349.5
XE,A00,21,C,3956.25,102862.5
XE,A00,22,C,4229.25,109960.5
XE,A00,23,C,4524.0,117624.0
XE,A00,24,C,4842.0,125892.0
XE,A00,25,C,5191.5,134979.0
XE,A00,26,C,5367.0,139542.0
XE,A00,27,C,5561.25,144592.5
XE,A00,28,C,5767.5,149955.0
XE,A00,29,C,5974.5,155337.0
XE,A00,30,C,6199.5,161187.0
XE,A00,5,D,1465.5,38103.0
XE,A00,6,D,1547.25,40228.5
XE,A00,7,D,1639.5,42627.0
XE,A00,8,D,1743.75,45337.5
XE,A00,9,D,1849.5,48087.0
XE,A00,10,D,1962.75,51031.5
XE,A00,11,D,2081.25,54112.5
XE,A00,12,D,2220.0,57720.0
XE,A00,13,D,2373.75,61717.5
XE,A00,14,D,2544.0,66144.0
XE,A00,15,D,2733.0,71058.0
XE,A00,16,D,2927.25,76108.5
XE,A00,17,D,3139.5,81627.0
